county,id_old,id,mpo,pop10,births10,deaths10,natinc10,immig10,dommig10,pop17,births17,deaths17,natinc17,immig17,dommig17,pop21,births21,deaths21,natinc21,immig21,dommig21
Shasta,6089,0500000US06089,non-MPO,177125,533,490,43,21,-162,178501,2039,2367,-328,153,1045,182072,1845,2607,-762,26,927
Sierra,6091,0500000US06091,non-MPO,3233,7,14,-7,1,-1,3133,26,34,-8,1,-1,3217,26,45,-19,0,3
Siskiyou,6093,0500000US06093,non-MPO,44862,90,128,-38,9,-9,44239,480,614,-134,27,-27,43790,390,702,-312,7,4
Solano,6095,0500000US06095,ABAG,412525,1187,710,477,253,-1549,437309,5224,3368,1856,1403,638,452532,4952,3932,1020,281,-2174
Sonoma,6097,0500000US06097,ABAG,483541,1417,993,424,183,-944,503883,4930,4254,676,1163,-1108,485110,4311,4606,-295,210,-4685
Stanislaus,6099,0500000US06099,non-MPO,515940,1922,927,995,274,218,551557,7817,4378,3439,1840,2686,553138,7088,5798,1290,426,-2573
Sutter,6101,0500000US06101,SACOG,94859,325,198,127,126,-131,98720,1354,855,499,534,-521,101478,1255,947,308,116,303
Tehama,6103,0500000US06103,non-MPO,63505,180,138,42,11,-11,64294,782,646,136,53,-53,65873,724,875,-151,15,366
Trinity,6105,0500000US06105,non-MPO,13779,35,42,-7,1,-1,13455,114,151,-37,5,-5,16047,99,177,-78,2,-12
Tulare,6107,0500000US06107,non-MPO,442330,1852,688,1164,226,-1239,472748,7111,3030,4081,1199,-492,474998,6676,4162,2514,211,-1209
Tuolumne,6109,0500000US06109,non-MPO,55350,130,145,-15,4,-4,54036,454,709,-255,39,-39,54811,398,766,-368,6,-327
Ventura,6111,0500000US06111,SCAG,824441,2766,1240,1526,418,-821,856111,9528,5784,3744,2177,-3483,837845,8287,7347,940,376,-8016
Yolo,6113,0500000US06113,SACOG,202385,565,259,306,122,1108,219468,2411,1357,1054,1322,366,217136,1957,1527,430,-63,225
Yuba,6115,0500000US06115,SACOG,72315,282,122,160,24,-24,76691,1233,680,553,128,-128,82091,1121,761,360,23,240
