REG_ID,Region,Country,totpop05,totpop20,pop65plus05,pop65plus20,workagepop05,workagepop20,areasqkm,popsqkm05,popsqkm20,pctba20,pm2pt5_05,pm2pt5_19,co2tot08,co2cap08,broadband19,inc05,inc19,unemp05,unemp20,covidvax2021q2
CO44,La Guajira,CO,645718,965718,26720,48220,363060,591933,20848,30.97,46.32,0.242699,19.35,19.12,NA,NA,NA,NA,NA,0.063,NA,NA
CO47,Magdalena,CO,1097750,1427030,60818,106755,667396,912969,23188,47.34,61.54,0.189388,20.99,19.16,NA,NA,NA,NA,NA,0.068,NA,NA
CR05,Huetar Caribbean,CR,377204,460083,15508,31080,237437,310533,9189,41.05,50.07,0.147382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EL30,Attica,EL,3952790,3738900,624440,783935,2762760,2417500,3788,1043.5,987.04,0.41,22.02,16.78,22756.2,5.7,NA,22985,17158,0.092,0.143,NA
EL43,Crete,EL,600490,636504,103390,124444,393665,409192,8305,72.3,76.64,0.28,17.52,13.61,1431.44,2.3,NA,16580,14440,0.073,0.178,NA
EL52,Central Macedonia,EL,1880520,1872100,338251,422159,1248600,1187390,18501,101.64,101.19,0.322,19.25,13.97,8523.04,4.5,NA,17971,14376,0.113,0.187,NA
AT21,Carinthia,AT,558926,561293,96141,123868,374579,362716,9367,59.67,59.92,0.321,14.63,10.83,3767.16,6.7,0.87,25437,25803,0.051,0.048,0.5869
DE2,Bavaria,DE,12443900,13124700,2223360,2695100,8295780,8629890,69900,178.02,187.76,0.34,14.59,11.39,83110.3,6.6,0.94,25812,29017,0.072,0.027,0.6387
TR71,Central Anatolia - Middle,TR,1473390,1608190,NA,172742,NA,1081760,31560,46.69,50.96,0.178,25.42,24.67,10493.1,7.1,NA,NA,NA,NA,0.123,NA
TR90,Eastern Black Sea,TR,2463110,2690180,NA,370614,NA,1825170,34918,70.54,77.04,0.205,22.55,21.87,5649.05,2.3,NA,NA,NA,NA,0.094,NA
DEA,North Rhine-Westphalia,DE,18075400,17947200,3387160,3800110,11907100,11654300,33840,534.14,530.36,0.28,16.16,12.92,294265,16.4,0.94,23559,25498,0.106,0.044,0.7042
HU21,Central Transdanubia,HU,1110900,1060760,162608,208632,773791,699730,10689,103.93,99.24,0.221,18.22,14.72,6052.96,5.5,0.88,11374,15629,0.061,0.028,NA
HU22,Western Transdanubia,HU,1000350,994549,156008,197796,696525,657693,11190,89.4,88.88,0.25,19.47,15.71,2958.18,3,0.85,11695,14790,0.058,0.024,NA
PL51,Lower Silesia ,PL,2893060,2864810,385857,549784,2065440,1893930,19771,146.33,144.9,0.361,25.77,21.43,28197.8,9.8,0.85,10847,18332,0.229,0.032,NA
US16,Idaho,US,1428240,1847770,164800,305994,936572,1149240,214314,6.66,8.62,NA,7.59,6.66,13408.1,8.7,0.884,31244,39168,0.04,0.052,0.072
US25,Massachusetts,US,6403290,7022220,848921,1198400,4359270,4596120,20306,315.34,345.82,NA,8.45,5.77,89966,13.9,0.889,45611,59172,0.05,0.093,0.694
US26,Michigan,US,10051100,10067700,1255160,1812440,6725080,6405130,147121,68.32,68.43,NA,10.9,7.78,171446,17.2,0.859,35077,41141,0.068,0.099,0.69
US34,New Jersey,US,8651970,9279740,1119850,1510030,5785850,5777210,19211,450.37,483.04,NA,11.47,7.54,154861,17.8,0.894,46246,57406,0.045,0.095,0.741
US38,North Dakota,US,646089,778962,94315,123141,431623,487927,178647,3.62,4.36,NA,6.6,6.08,43766.3,66.6,0.841,34390,48663,0.035,0.05,0.645
US53,Washington,US,6257310,7718790,714734,1247870,4294020,5053340,172348,36.31,44.79,NA,6.66,6.16,82750.8,12.6,0.912,40602,54572,0.056,0.085,0.742
US56,Wyoming,US,514157,577267,62222,103776,350774,368180,251489,2.04,2.3,NA,4.75,4.46,48956.5,89.7,0.878,40665,52617,0.033,0.056,0.447
ITF1,Abruzzo,IT,1280040,1293940,270352,314288,836519,821350,10810,118.41,119.7,0.212,18.04,13.61,5795.02,4.5,0.84,20195,18500,0.079,0.095,0.7087
ITH3,Veneto,IT,4669410,4879130,886242,1135670,3138760,3109690,17348,269.16,281.25,0.198,28.77,20.68,44045.5,9.2,0.87,24489,23133,0.043,0.06,0.6892
ITI4,Lazio,IT,5217360,5755700,989158,1276880,3505960,3724800,16958,307.66,339.41,0.27,20.89,15.49,54045.5,10.1,0.87,25844,22284,0.078,0.093,0.7151
JPA,Hokkaido,JP,5628000,5225000,1205690,1679000,3696060,2989000,83456,67.44,62.61,NA,8.79,10.42,50114.3,9.1,0.551745,18195,NA,0.053,0.03,NA
PT15,Algarve,PT,418530,438406,78172,96053,276219,276802,4934,84.83,88.85,0.244,11.86,9.56,2357.96,5.4,0.77,18757,21953,0.065,0.088,NA
ES23,La Rioja,ES,298045,315931,54754,67208,203651,203428,5031,59.24,62.8,0.385,11.31,8.72,1764.46,5.5,0.9,21564,20944,0.06,0.109,NA
CL13,Santiago Metropolitan Region,CL,6525160,8125070,529833,904297,4430120,5708610,15309,426.23,530.74,0.383371,25.73,27.71,22440,3.3,NA,NA,NA,NA,0.118,NA
CL14,Los Ríos,CL,372946,405835,34620,55500,244449,273653,17234,21.64,23.55,0.230719,28.49,29.66,1826.27,4.8,NA,NA,NA,NA,0.105,NA
CZ01,Prague,CZ,1161330,1324280,183527,251166,832710,862264,485,2394.5,2730.47,0.459,18.94,15.7,8645.98,7.2,0.93,18368,23379,0.035,0.024,0.8296
CZ05,Northeast,CZ,1478380,1518000,208630,315398,1041580,961242,12252,120.66,123.9,0.205,20.12,15.89,12740.1,8.5,0.86,12716,16656,0.055,0.024,0.5344
CZ06,Southeast,CZ,1642020,1701800,237497,342911,1157290,1088020,13706,119.8,124.16,0.277,19.97,16.05,10448.3,6.3,0.88,12660,17204,0.077,0.023,0.561
DK01,Copenhagen region,DK,1631540,1846020,235914,315667,1103330,1222660,2435,670.04,758.12,0.531,13.28,10.18,12753.3,7.7,0.93,17989,21845,NA,0.063,0.7413
FI19,Western Finland,FI,1330370,1378650,230510,324964,871246,835371,58303,22.82,23.65,0.459,6.95,5.46,24885.7,18.5,0.92,17684,20484,0.088,0.08,NA
JPD,Southern-Kanto,JP,34479000,36914000,5993140,9274000,23830600,23378000,13112,2629.58,2815.28,NA,13.45,14.76,240008,6.9,0.786553,25125,NA,0.045,0.031,NA
JPG,Kansai region,JP,20893000,20542000,4055550,5893000,13834200,12197000,26232,796.47,783.09,NA,12.62,13.99,171129,8.2,0.731207,21315,NA,0.054,0.032,NA
ES51,Catalonia,ES,6870810,7652350,1128320,1471140,4766640,5012700,31964,214.95,239.41,0.423,14.86,11.31,45251.1,6.1,0.94,23360,22802,0.07,0.128,0.71
CH07,Ticino,CH,319931,351491,59505,80718,214144,224584,2733,117.06,128.61,0.383685,18.71,13.46,2069.67,6.3,0.92,NA,NA,0.058,0.068,0.61
TR31,Izmir,TR,3603400,4367250,NA,493673,NA,3057660,11718,307.51,372.7,0.252,23.27,24.3,8882.18,2.4,NA,NA,NA,NA,0.174,NA
BR07,Tocantins,BR,1305730,1590250,65578,NA,813672,NA,277298,4.71,5.73,NA,NA,NA,58504.5,42.7,NA,NA,NA,NA,NA,0.5583
BR17,Espírito Santo,BR,3408370,4064050,209771,NA,2292720,NA,46047,74.02,88.26,NA,NA,NA,6490.09,1.8,NA,NA,NA,NA,NA,0.6673
BR18,Minas Gerais,BR,19237500,21292700,1357230,NA,12915300,NA,586552,32.8,36.3,NA,NA,NA,62049.6,3.2,NA,NA,NA,NA,NA,0.6573
CO18,Caquetá,CO,379273,410521,17290,26884,223932,260927,88965,4.26,4.61,0.201928,18.29,18.14,NA,NA,NA,NA,NA,0.068,NA,NA
CO68,Santander,CO,1882380,2280910,132527,228852,1221400,1548410,30537,61.64,74.69,0.231405,26.61,26.02,NA,NA,NA,NA,NA,0.126,NA,NA
CO85,Casanare,CO,325061,435195,11234,24573,201129,292234,44640,7.28,9.75,NA,27.07,28.06,NA,NA,NA,NA,NA,NA,NA,NA
CR06,North Huetar ,CR,307067,421912,13660,27378,191650,285905,9796,31.35,43.07,0.0929819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE12,Junín,PE,1254000,1361470,63795,NA,737533,NA,44327,28.29,30.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE16,Loreto,PE,917618,1027560,27859,NA,542021,NA,368852,2.49,2.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RO21,North East,RO,3735510,3184220,531712,582256,2507570,2032050,36488,102.38,87.27,0.118,18.79,14.28,NA,NA,0.77,5299,10456,0.061,0.032,NA
SI04,Western Slovenia,SI,905174,995849,141642,197646,633122,643130,7812,115.87,127.48,0.416,20.83,16.84,7410.37,8,0.92,16207,18430,NA,0.044,NA
RO32,Bucharest - Ilfov,RO,2209770,2322000,321822,384245,1624790,1578210,1754,1259.84,1323.83,0.405,25.63,20.38,NA,NA,0.91,12065,27716,0.069,0.048,NA
NZ11,Northland,NZ,151000,194300,21230,39100,94350,115800,11840,12.75,16.41,0.267,5.32,4.98,107.975,0.7,NA,13047,NA,0.055,0.05,NA
NZ12,Auckland,NZ,1348900,1716900,130140,213700,920690,1169600,4476,301.36,383.58,0.455,6.16,5.83,1688.21,1.2,NA,16662,NA,0.038,0.044,NA
FRF,Grand Est,FR,5475270,5536000,865137,1146410,3611470,3454310,57328,95.51,96.57,0.332,14.6,11.37,39905.1,7.2,0.8,19971,22294,0.088,0.09,0.7236
MT00,Malta,MT,402668,514564,53565,95050,278039,350356,313,1286.48,1643.97,NA,15.38,13.06,NA,NA,0.86,13519,NA,0.069,0.043,NA
PL71,Lodzkie,PL,2587700,2442690,383379,493227,1808870,1598090,18110,142.89,134.88,NA,31.02,26.39,59223,23.2,0.784,10864,17765,NA,NA,NA
PL82,Podkarpacia,PL,2097980,2084450,267028,357273,1437300,1407110,17702,118.52,117.75,NA,27.63,22.98,13987.6,6.7,0.868,8370,14135,NA,NA,NA
AT12,Lower Austria,AT,1568950,1684290,264642,341839,1047590,1099170,18907,82.98,89.08,0.33,16.77,12.29,28464.7,17.8,0.91,27089,27530,0.047,0.043,0.6522
BE2,Flemish Region,BE,6043160,6639010,1073880,1357590,3973160,4201890,13429,450.01,494.38,0.427,16.42,13.21,79324.5,12.8,0.89,23256,25217,0.054,0.035,0.7616
TRB1,Eastern Anatolia - West,TR,1561650,1755740,NA,171470,NA,1180680,36251,43.08,48.43,0.227,24.98,23.87,3851.78,2.4,NA,NA,NA,NA,0.11,NA
DEE,Saxony-Anhalt,DE,2494440,2194780,516186,591845,1717240,1332160,20247,123.2,108.4,0.22,16.23,12.54,27602.3,11.5,0.94,18778,22677,0.205,0.047,0.5974
DEF,Schleswig-Holstein,DE,2828760,2903770,539411,672553,1852680,1843040,15408,183.59,188.46,0.26,14.23,11.11,22313,7.9,0.96,23652,26389,0.105,0.034,0.7121
IS01,Capital Region,IS,184244,233034,21451,32577,122427,157052,1034,178.19,225.37,NA,7.85,6.61,1065.28,5.3,NA,22508,NA,0.033,0.072,NA
NL21,Overijssel,NL,1109430,1162410,156370,227104,737353,744456,3362,329.99,345.75,0.377,14.59,11.47,6640.71,5.9,0.96,19015,20960,0.063,0.036,NA
NL22,Gelderland,NL,1972010,2085950,279587,426100,1318490,1333880,5000,394.4,417.19,0.381,15.46,12.64,18982.3,9.6,0.98,19811,21868,0.055,0.036,NA
NL32,North Holland,NL,2599100,2879530,353775,520253,1778670,1911100,2753,944.1,1045.96,0.499,15.95,12.12,33322.1,12.6,0.98,21939,23766,0.06,0.041,NA
US02,Alaska,US,666946,732441,44678,95876,471677,484860,1481350,0.45,0.49,NA,9.36,7.82,24923.8,36.3,0.878,42451,54447,0.066,0.078,0.523
US10,Delaware,US,845150,991886,112063,197594,567209,619836,5060,167.03,196.02,NA,12.35,7.63,12112.2,13.7,0.888,41244,45223,0.042,0.078,0.114
US54,West Virginia,US,1820490,1789800,280820,373569,1219050,1117690,62361,29.19,28.7,NA,11.31,6.28,92072.1,50,0.81,29033,36149,0.053,0.082,0.554
IL03,Haifa District,IL,854800,1053400,105800,NA,540500,NA,866,987.07,1216.4,NA,18.8,15.52,20105.8,22.8,NA,10298,NA,0.098,NA,NA
ES41,Castile and León,ES,2482800,2401310,557306,612682,1635060,1504770,93806,26.47,25.6,0.39,10.43,8.15,38290.6,15,0.89,19804,20247,0.088,0.122,NA
CL01,Tarapacá,CL,263141,382773,15844,31468,176127,263894,42280,6.22,9.05,0.289264,12.83,13.36,788.94,2.8,NA,NA,NA,NA,0.102,NA
CL06,O'Higgins,CL,834493,991063,70852,131373,550657,665120,16241,51.38,61.02,0.213313,22.87,25.08,1533.27,1.8,NA,NA,NA,NA,0.112,NA
CL09,Araucanía,CL,919417,1014340,85989,138079,595673,673672,31250,29.42,32.46,0.214051,27.16,29.84,2689.24,2.9,NA,NA,NA,NA,0.099,NA
