REG_ID,Region,Country,totpop05,totpop20,pop65plus05,pop65plus20,workagepop05,workagepop20,areasqkm,popsqkm05,popsqkm20,pctba20,pm2pt5_05,pm2pt5_19,co2tot08,co2cap08,broadband19,inc05,inc19,unemp05,unemp20,covidvax2021q2
FRK,Auvergne-Rhône-Alpes,FR,7295520,8064150,1189890,1635700,4749470,4971840,70319,103.75,114.68,0.412,15.02,11.58,55992.9,7.5,0.83,20822,23376,0.077,0.073,0.738
HU12,Pest,HU,1143630,1297100,151405,227398,795165,850783,6281,182.08,206.51,0.307,20.13,16.39,NA,NA,0.88,13652,15045,NA,NA,NA
IE06,Eastern and Midland,IE,1983100,2445550,196100,316234,1384600,1634160,14306,138.62,170.95,NA,10.93,8.12,NA,NA,0.93,19043,22557,NA,NA,NA
LT02,Central and Western Lithuania,LT,2516660,1973580,408041,417016,1665390,1269120,53221,47.29,37.08,NA,13.77,9.96,NA,NA,0.81,10781,17446,NA,NA,NA
CA11,Prince Edward Island,CA,138064,161329,19640,32118,93886,104686,5686,24.28,28.37,NA,5.39,4,1753.31,12.6,NA,15808,NA,0.111,0.104,0.8466
TR82,Western Black Sea - Middle and East,TR,727489,793437,NA,139729,NA,521429,26437,27.52,30.01,0.161,22.11,21.53,1973.15,2.7,NA,NA,NA,NA,0.07,NA
DEG,Thuringia,DE,2355280,2133380,466157,559535,1639230,1301530,16145,145.88,132.14,0.29,13.98,10.9,13286.4,5.8,0.94,19298,22828,0.172,0.036,0.5835
HU23,Southern Transdanubia,HU,977465,874573,154891,188049,670872,566928,13763,71.02,63.55,0.185,21.18,17.05,3421.32,3.6,0.85,10249,13203,0.088,0.053,NA
NL33,South Holland,NL,3458380,3744300,481575,683089,2341580,2449580,2884,1199.16,1298.3,0.442,15.8,12.19,41330.1,11.9,0.98,20165,22006,0.062,0.045,NA
US04,Arizona,US,5839080,7177990,756856,1373980,3809130,4685610,294312,19.84,24.39,NA,7.91,6.74,110259,17.6,0.872,34250,38850,0.048,0.078,0.115
US20,Kansas,US,2745300,2935880,356544,488316,1807800,1848070,211900,12.96,13.86,NA,9.85,7.25,69630.7,24.8,0.852,34348,45013,0.052,0.058,0.083
ITC4,Lombardy,IT,9276620,10027600,1781050,2295840,6242060,6388680,23047,402.51,435.09,0.217,29.89,21.77,86644.9,9.1,0.87,28563,25867,0.042,0.052,0.7404
PL52,Opole region,PL,1051530,942233,139906,181424,746488,629355,9313,112.91,101.17,0.276,28.45,23.43,14601.8,14.1,0.866,9157,16262,0.171,0.028,NA
PT30,Autonomous Region of Madeira,PT,256316,254254,35140,43177,173333,177746,799,320.8,318.22,0.229,4.99,4.23,431.877,1.6,0.83,17622,17202,0.041,0.085,NA
CL12,Magallanes and Chilean Antarctica,CL,155031,178362,13303,22124,105452,123854,130327,1.19,1.37,0.355857,5.91,5.93,1743.79,11,NA,NA,NA,NA,0.072,NA
ES53,Balearic Islands,ES,940121,1210730,130094,193323,665511,840433,4973,189.05,243.46,0.348,9.69,7.44,4284.69,4.1,0.93,22746,20683,0.072,0.164,0.6916
CR01,Central ,CR,2671530,3162510,165868,303892,1807070,2227360,9135,292.45,346.2,0.265815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE06,Cajamarca,PE,1458380,1453710,67546,NA,872020,NA,33318,43.77,43.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE10,Huánuco,PE,788380,760267,35474,NA,477906,NA,37021,21.3,20.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE22,San Martin,PE,722567,899648,23907,NA,461535,NA,51253,14.1,17.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FRY5,Mayotte,FR,170270,278926,NA,7425,NA,149409,365,466.49,764.18,NA,7.23,7.69,NA,NA,NA,4715,7445,NA,0.284,0.4055
PL81,Lublin Province ,PL,2185160,2088290,309479,390752,1493410,1388680,24919,87.69,83.8,NA,24.1,20.73,10848.7,5,0.783,8872,15068,NA,NA,NA
PL91,Warsaw,PL,2781320,3082400,424980,577140,1971450,1982800,6013,462.55,512.62,0.572,27.34,23.66,NA,NA,0.88,14598,23739,NA,NA,NA
