ID,GDP96,GDPGrow,popDens96,area96,unemp99,pctCollege,CO2_2005
SE31,22219.88,0.286396361,0.002269918,0.024946938,0.1096,0.203905687,0.097726891
US53,35307.42,0.284355573,0.005412184,0.06584083,0.0485,0.269243256,0.118458768
US06,36271,0.284196296,0.013258392,0.14799278,0.0526,0.248654863,0.119049661
FR83,18269.77,0.284036913,0.005057906,0.00342161,0.2604,0.134715026,0.064419693
CZ05,14890.11,0.283254926,0.020428913,0.004829966,0.0775,0.090860359,0.092541054
CA12,20743.77,0.283091744,0.002980325,0.020680637,0.0961,0.347293447,0.15224773
ES42,17667.75,0.282409889,0.003656435,0.030667656,0.1497,0.187409341,0.129793427
NL1,28916.81,0.282109252,0.032551276,0.003294766,0.0615,0.194858934,0.06192103
CL13,10890.54,0.28161095,0.061862854,0.006063975,0.1092,0.244,0.038233095
HU32,8486.26,0.279577447,0.014863717,0.006986218,0.1021,0.139210717,0.039238993
CL06,7055.98,0.278017795,0.007854969,0.006450034,0.0687,0.244,0.033004445
US20,31459.03,0.276471316,0.002083775,0.080357741,0.0352,0.243092033,0.240557583
ES41,20358.07,0.275179312,0.004517812,0.036328913,0.153,0.279133858,0.16964651
ES30,28176.51,0.273117132,0.102475035,0.0031387,0.1297,0.349112674,0.057981902
AT12,22864.73,0.271160736,0.013559587,0.007446395,0.033,0.14169201,0.159405723
ES22,27299.03,0.271086108,0.00872955,0.004078864,0.0824,0.357693869,0.104085939
ME26,10324.68,0.270992946,0.001999153,0.068487346,0.0132,0.173169214,0.025712217
US48,34803.35,0.269823387,0.00473726,0.237242229,0.0472,0.211433064,0.204723998
CL02,18776.5,0.26909957,0.000627283,0.048575022,0.0838,0.244,0.176840786
AU1,26095.4,0.267890761,0.001304985,0.27492888,0.0621,0.287519097,0.168843941
ME03,10978.19,0.267399547,0.000881475,0.028780371,0.0254,0.161437848,0.049604607
UKD,21458.33,0.26537205,0.078384577,0.005578031,0.0619,0.23202541,0.0733812
CZ03,15859.96,0.265289565,0.011667248,0.006717142,0.0655,0.100505051,0.073734464
NL4,27934.37,0.265176496,0.078729486,0.002801962,0.0294,0.212924275,0.100137775
SE22,23083.81,0.263631649,0.015247943,0.00550063,0.0873,0.167412767,0.079194147
AT34,29546.6,0.261730905,0.022702717,0.001000398,0.0346,0.126666667,0.065043384
AT22,24296.04,0.261102358,0.012287259,0.006397655,0.032,0.129471582,0.102542862
US08,36604.59,0.260746366,0.002405272,0.100817896,0.0304,0.298437637,0.180736016
DED,19488.53,0.260041506,0.040904751,0.007244481,0.1602,0.28699063,0.094359158
DEC,25620.44,0.259573476,0.068995133,0.001014403,0.0721,0.184680851,0.186511121
AT33,28909.83,0.259500107,0.008830415,0.004934454,0.0246,0.117007673,0.070018961
AU8,34393.4,0.257613942,0.022006188,0.000927298,0.0553,0.439613527,0.082613253
NO04,37606.30751,0.257396011,0.004332088,0.009375745,0.0345,0.269030877,0.086631077
UKF,22455.2,0.256778284,0.043603456,0.00615185,0.0523,0.210623602,0.121409742
NL3,31569.58,0.254840648,0.132704303,0.003416729,0.0352,0.262515164,0.106823324
US10,47777.98,0.254713375,0.024077766,0.001995976,0.0332,0.23783647,0.152002802
ME09,20586.81,0.254500442,0.68250842,0.000585828,0.032,0.298795241,0.032084312
UKC,19598.57,0.254391208,0.049479589,0.003394928,0.1004,0.203967266,0.081211956
ES23,24483.18,0.253865487,0.008847225,0.001984429,0.0812,0.240856378,0.077524183
CA46,24822.06,0.252225299,0.000356074,0.197167977,0.0561,0.370503597,0.147009545
UKE,21431.71,0.250970849,0.052621991,0.006127988,0.0658,0.216357036,0.134956233
NL2,24856.04,0.249313361,0.054358159,0.003845981,0.0335,0.209621993,0.100739589
HU23,9531.43,0.249187618,0.012002437,0.005579445,0.083,0.122099156,0.0506895
AU3,25358,0.248484232,0.000322168,0.521643787,0.0775,0.228873239,0.184220893
NO05,37629.9612,0.247226857,0.002760491,0.018552773,0.0306,0.250122369,0.093407229
